Image_Metadata_Well,CNfrac_akt.ncells,CNfrac_akt.mn,CNfrac_akt.sd,comp.conc,well.type,Col,Row,npi,zscore
K012,471,0.987786,0.263551,K12_10uM,compound,12,K,0.794346,-0.545361
K013,533,1.12892,0.262885,K13_10uM,compound,13,K,1.08585,0.981938
K014,514,1.05427,0.266599,K14_10uM,compound,14,K,0.931674,0.174152
K015,347,1.11696,0.250752,K15_10uM,compound,15,K,1.06115,0.852545
K016,289,1.11094,0.27066,K16_10uM,compound,16,K,1.0487,0.787314
K017,311,1.0298,0.252109,K17_10uM,compound,17,K,0.881117,-0.0907358
K018,462,1.01367,0.267625,K18_10uM,compound,18,K,0.847799,-0.265305
K019,358,1.10939,0.274284,K19_10uM,compound,19,K,1.04552,0.770623
K020,269,1.10048,0.267818,K20_10uM,compound,20,K,1.02712,0.674212
K021,272,1.08577,0.249728,K21_10uM,compound,21,K,0.996729,0.515003
K022,210,1.0596,0.254854,K22_10uM,compound,22,K,0.942666,0.231746
K023,361,0.805775,0.185038,Cobimetinib_200nM,pos.erk,23,K,0.41842,-2.51499
K024,304,1.0679,0.277769,DMSO_1E-3,neg,24,K,0.959823,0.321636
L001,226,1.08682,0.266526,L1_10uM,compound,1,L,0.998903,0.52639
L002,352,0.857908,0.247232,L2_10uM,compound,2,L,0.526095,-1.95083
L003,243,1.0956,0.26217,L3_10uM,compound,3,L,1.01704,0.621404
L004,297,1.01273,0.299998,L4_10uM,compound,4,L,0.845873,-0.275391
L005,326,1.07512,0.272921,L5_10uM,compound,5,L,0.974735,0.399767
L006,399,1.00549,0.258305,L6_10uM,compound,6,L,0.83091,-0.35379
L007,315,1.10346,0.281239,L7_10uM,compound,7,L,1.03325,0.706356
L008,469,1.04954,0.256389,L8_10uM,compound,8,L,0.9219,0.122945
L009,348,1.0818,0.280449,L9_10uM,compound,9,L,0.988517,0.471974
L010,363,0.903589,0.278716,L10_10uM,compound,10,L,0.620445,-1.4565
L011,258,1.0687,0.246983,L11_10uM,compound,11,L,0.961473,0.33028
L012,307,0.978879,0.260398,L12_10uM,compound,12,L,0.77595,-0.641747
L013,417,1.10511,0.262253,L13_10uM,compound,13,L,1.03666,0.724237
L014,382,1.04877,0.264047,L14_10uM,compound,14,L,0.920306,0.114591
L015,21,0.93298,0.239539,L15_10uM,compound,15,L,0.681151,-1.13844
L016,220,0.593062,0.168845,L16_10uM,compound,16,L,-0.0209188,-4.81686
L017,237,1.08135,0.258395,L17_10uM,compound,17,L,0.987585,0.467091
L018,282,1.09253,0.292724,L18_10uM,compound,18,L,1.0107,0.588179
L019,185,1.14056,0.26648,L19_10uM,compound,19,L,1.1099,1.10794
L020,305,1.05993,0.273282,L20_10uM,compound,20,L,0.94335,0.23533
L021,256,1.1099,0.274803,L21_10uM,compound,21,L,1.04657,0.776126
L022,320,1.06528,0.26769,L22_10uM,compound,22,L,0.9544,0.293221
L023,371,0.806947,0.199541,Cobimetinib_200nM,pos.erk,23,L,0.42084,-2.50231
L024,290,1.11562,0.263053,DMSO_1E-3,neg,24,L,1.05837,0.837961
M001,234,1.0897,0.249128,M1_10uM,compound,1,M,1.00484,0.557514
M002,365,0.98912,0.259262,M2_10uM,compound,2,M,0.797103,-0.530917
M003,192,1.129,0.291802,M3_10uM,compound,3,M,1.08602,0.98284
M004,344,1.12258,0.267896,M4_10uM,compound,4,M,1.07275,0.913331
M005,193,1.12347,0.2733,M5_10uM,compound,5,M,1.07459,0.922944
M006,100,0.993378,0.27088,M6_10uM,compound,6,M,0.805898,-0.48484
M007,267,1.04978,0.282721,M7_10uM,compound,7,M,0.92239,0.125511
M008,513,1.12414,0.272733,M8_10uM,compound,8,M,1.07597,0.93018
M009,534,1.05717,0.352951,M9_10uM,compound,9,M,0.937644,0.205433
M010,387,1.05797,0.26614,M10_10uM,compound,10,M,0.939306,0.214137
M011,441,1.09571,0.255057,M11_10uM,compound,11,M,1.01725,0.622523
M012,429,1.0852,0.267188,M12_10uM,compound,12,M,0.995541,0.508777
